dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_mae,val_rmse,val_r2
diabetes,basic,scratch,1,0.6917168923493022,0.6031896471977234,0.6644,0.2522090381216864,0.7171572146446519,0.3731789316398954,0.745210433651769,,,
diabetes,basic,scratch,2,0.5947029000376985,0.5770319104194641,0.6988,0.2765663814518355,0.719310839913855,0.3995215311004784,0.7705522083354082,,,
diabetes,basic,scratch,3,0.5740227255517356,0.5649175047874451,0.7112,0.2863675335810231,0.719310839913855,0.4096484055600981,0.7811769181347991,,,
diabetes,basic,scratch,4,0.5615808078944191,0.5594330430030823,0.6785,0.2737208147044213,0.7910983488872936,0.4067171064772098,0.7865223226457771,,,
diabetes,basic,scratch,5,0.5539572073835056,0.5581492781639099,0.7369,0.3027405991077119,0.6819813352476669,0.4193334804678879,0.7896225638474702,,,
diabetes,basic,scratch,6,0.5492106434926828,0.5512281060218811,0.7163,0.2943019943019943,0.741564967695621,0.4213746685702631,0.792102097901748,,,
diabetes,basic,scratch,7,0.5456754515100805,0.5503964424133301,0.7328,0.3053272450532724,0.7200287150035893,0.4288157332193245,0.7947229633536735,,,
diabetes,basic,scratch,8,0.542425551141862,0.5475857853889465,0.6677,0.2713270142180095,0.8219669777458722,0.4079814715838232,0.7972461604275256,,,
diabetes,basic,scratch,9,0.5397994371748985,0.5415336489677429,0.705,0.2905569007263922,0.7753050969131371,0.4227005870841487,0.8002758818908231,,,
diabetes,basic,scratch,10,0.536423106708804,0.539543092250824,0.7265,0.3043731778425656,0.7494615936826992,0.4329255650010367,0.8029767753604785,,,
diabetes,basic,scratch,11,0.5335744861045125,0.5364640951156616,0.6984,0.2869519558939354,0.7846374730796841,0.4202229911572472,0.8045984791256987,,,
diabetes,basic,scratch,12,0.532121036203562,0.5350103974342346,0.699,0.2878509577538704,0.7875089734386217,0.4215987701767871,0.8060110841515249,,,
diabetes,basic,scratch,13,0.5298852243082385,0.5345503091812134,0.7,0.2882740447957839,0.7853553481694185,0.4217424826522745,0.8064842461573414,,,
diabetes,basic,pytorch,1,0.691716911683876,0.6031896471977234,0.6644,0.2522090381216864,0.7171572146446519,0.3731789316398954,0.7452103919487895,,,
diabetes,basic,pytorch,2,0.5947029259103752,0.5770319104194641,0.6988,0.2765663814518355,0.719310839913855,0.3995215311004784,0.7705521666324285,,,
diabetes,basic,pytorch,3,0.5740227438798498,0.5649175047874451,0.7112,0.2863675335810231,0.719310839913855,0.4096484055600981,0.7811768347288401,,,
diabetes,basic,pytorch,4,0.5615808248104579,0.5594330430030823,0.6785,0.2737208147044213,0.7910983488872936,0.4067171064772098,0.7865223226457771,,,
diabetes,basic,pytorch,5,0.553957224019292,0.5581492781639099,0.7369,0.3027405991077119,0.6819813352476669,0.4193334804678879,0.7896225221444906,,,
diabetes,basic,pytorch,6,0.5492106647354571,0.5512281060218811,0.7163,0.2943019943019943,0.741564967695621,0.4213746685702631,0.792102181307707,,,
diabetes,basic,pytorch,7,0.5456754758128146,0.5503963828086853,0.7328,0.3053272450532724,0.7200287150035893,0.4288157332193245,0.7947229633536735,,,
diabetes,basic,pytorch,8,0.5424255703585308,0.5475857853889465,0.6677,0.2713270142180095,0.8219669777458722,0.4079814715838232,0.7972461187245461,,,
diabetes,basic,pytorch,9,0.539799449154964,0.541533350944519,0.705,0.2905569007263922,0.7753050969131371,0.4227005870841487,0.800279301535145,,,
diabetes,basic,pytorch,10,0.5364431113305534,0.5394359230995178,0.7261,0.3037900874635568,0.7480258435032304,0.4320962056811113,0.8030656861128493,,,
diabetes,basic,pytorch,11,0.5335676967006923,0.5363892316818237,0.6986,0.287214491992649,0.7853553481694185,0.4206074586697424,0.8046549866629701,,,
diabetes,basic,pytorch,12,0.5321284821667269,0.5349817872047424,0.7007,0.2890295358649789,0.7867910983488873,0.4227579556412729,0.8060211762725727,,,
diabetes,basic,pytorch,13,0.5298912892774639,0.5346254110336304,0.7004,0.2888010540184453,0.7867910983488873,0.4225134926754048,0.8064578898742746,,,
diabetes,basic,tensorflow,1,0.6917192794745121,0.6031912565231323,0.6644,0.2522090381216864,0.7171572146446519,0.3731789316398954,0.745210433651769,,,
